age,gender,department,job_title,years_at_company,satisfaction_level,attrition,age_minus_tenure,maturity_satisfaction_interaction,loyalty_satisfaction_score
45,Male,Finance,HR Specialist,3.0,0.98,1,42.0,44.1,2.94
37,Female,Sales,Manager,8.0,0.75,1,29.0,27.75,6.0
43,Male,Sales,Accountant,2.0,0.48,1,41.0,20.64,0.96
42,Male,Sales,Accountant,6.0,0.81,1,36.0,34.02,4.86
26,Female,Finance,Engineer,4.0,0.12,1,22.0,3.12,0.48
52,Male,Marketing,Accountant,5.0,0.59,0,47.0,30.68,2.9499999999999997
47,Male,Engineering,Engineer,9.0,0.38,0,38.0,17.86,3.42
28,Female,Sales,Analyst,10.0,0.91,1,18.0,25.48,9.1
28,Female,Finance,HR Specialist,5.0,0.31,1,23.0,8.68,1.55
36,Male,Sales,Accountant,8.0,0.69,0,28.0,24.839999999999996,5.52
46,Female,Engineering,Engineer,9.0,0.23,0,37.0,10.58,2.0700000000000003
50,Male,Sales,Accountant,8.0,0.75,1,42.0,37.5,6.0
59,Male,Finance,Accountant,6.0,0.98,0,53.0,57.82,5.88
28,Male,Sales,Analyst,6.0,0.46,0,22.0,12.88,2.7600000000000002
36,Female,Marketing,Accountant,9.0,0.89,1,27.0,32.04,8.01
28,Male,Finance,Analyst,8.0,0.35,1,20.0,9.799999999999999,2.8
55,Male,Marketing,Analyst,3.0,0.38,0,52.0,20.9,1.1400000000000001
31,Male,HR,HR Specialist,5.0,0.11,0,26.0,3.41,0.55
34,Female,HR,Analyst,6.0,0.94,1,28.0,31.959999999999997,5.64
48,Male,HR,Engineer,8.0,0.52,0,40.0,24.96,4.16
39,Male,Engineering,Engineer,5.0,0.43,0,34.0,16.77,2.15
44,Male,Sales,Analyst,7.0,0.07,0,37.0,3.08,0.49000000000000005
31,Male,Sales,Manager,8.0,0.07,1,23.0,2.1700000000000004,0.56
37,Female,Finance,Analyst,8.0,0.29,0,29.0,10.729999999999999,2.32
52,Male,Marketing,Manager,6.0,0.85,1,46.0,44.199999999999996,5.1
42,Female,Marketing,Accountant,2.0,0.94,0,40.0,39.48,1.88
35,Male,Finance,Manager,4.0,0.71,1,31.0,24.849999999999998,2.84
26,Male,HR,Engineer,6.0,0.87,0,20.0,22.62,5.22
41,Female,Marketing,Engineer,8.0,0.8,0,33.0,32.800000000000004,6.4
30,Male,Sales,Analyst,3.0,0.98,1,27.0,29.4,2.94
47,Female,Engineering,Manager,5.0,0.4,1,42.0,18.8,2.0
40,Male,Marketing,Analyst,3.0,0.83,1,37.0,33.199999999999996,2.4899999999999998
50,Female,Sales,Analyst,1.0,0.92,0,49.0,46.0,0.92
25,Male,HR,Analyst,1.0,0.81,0,24.0,20.25,0.81
54,Female,Engineering,Analyst,1.0,0.86,0,53.0,46.44,0.86
26,Male,HR,Engineer,10.0,0.0,0,16.0,0.0,0.0
44,Female,Sales,Accountant,8.0,0.71,1,36.0,31.24,5.68
29,Female,HR,Engineer,7.0,0.43,0,22.0,12.47,3.01
55,Female,Finance,Engineer,3.0,0.22,1,52.0,12.1,0.66
32,Male,Sales,Engineer,6.0,0.87,0,26.0,27.84,5.22
54,Female,HR,HR Specialist,10.0,0.49,1,44.0,26.46,4.9
26,Male,Finance,Analyst,1.0,0.01,0,25.0,0.26,0.01
37,Male,Finance,Analyst,6.0,0.18,0,31.0,6.66,1.08
28,Female,HR,HR Specialist,1.0,0.13,1,27.0,3.64,0.13
32,Male,HR,Accountant,5.0,0.9,0,27.0,28.8,4.5
49,Male,Finance,Engineer,5.0,0.72,0,44.0,35.28,3.5999999999999996
31,Male,Sales,Manager,2.0,0.45,0,29.0,13.950000000000001,0.9
38,Female,Sales,Analyst,5.0,0.34,1,33.0,12.920000000000002,1.7000000000000002
53,Male,HR,Manager,4.0,0.01,1,49.0,0.53,0.04
45,Male,Engineering,Engineer,10.0,0.29,0,35.0,13.049999999999999,2.9
57,Female,Marketing,Manager,4.0,0.66,0,53.0,37.620000000000005,2.64
49,Female,HR,Analyst,7.0,0.7,1,42.0,34.3,4.8999999999999995
38,Male,Finance,Engineer,8.0,0.81,1,30.0,30.78,6.48
33,Female,Engineering,Analyst,7.0,0.43,0,26.0,14.19,3.01
39,Female,Engineering,Engineer,2.0,0.79,0,37.0,30.810000000000002,1.58
31,Male,Marketing,Engineer,6.0,0.88,1,25.0,27.28,5.28
26,Male,Marketing,Accountant,2.0,0.08,0,24.0,2.08,0.16
55,Male,Engineering,Engineer,2.0,0.07,1,53.0,3.8500000000000005,0.14
31,Female,Sales,Accountant,4.0,0.94,0,27.0,29.139999999999997,3.76
35,Male,Finance,Engineer,1.0,0.26,1,34.0,9.1,0.26
37,Male,HR,Analyst,3.0,0.49,1,34.0,18.13,1.47
37,Female,Engineering,HR Specialist,1.0,0.02,1,36.0,0.74,0.02
50,Male,Marketing,Engineer,5.0,0.34,0,45.0,17.0,1.7000000000000002
32,Male,Marketing,Accountant,10.0,0.47,0,22.0,15.04,4.699999999999999
38,Female,Marketing,Analyst,2.0,0.38,1,36.0,14.44,0.76
26,Female,Engineering,Engineer,6.0,0.05,0,20.0,1.3,0.30000000000000004
39,Male,Marketing,HR Specialist,6.0,0.69,0,33.0,26.909999999999997,4.14
48,Female,Sales,Engineer,4.0,0.75,1,44.0,36.0,3.0
58,Male,Sales,HR Specialist,4.0,0.95,1,54.0,55.099999999999994,3.8
28,Female,Finance,Analyst,10.0,0.52,0,18.0,14.56,5.2
42,Male,Finance,Engineer,3.0,0.04,1,39.0,1.68,0.12
49,Female,Sales,HR Specialist,9.0,0.13,0,40.0,6.37,1.17
48,Female,Engineering,Manager,7.0,0.89,0,41.0,42.72,6.23
30,Female,Finance,Engineer,2.0,0.88,0,28.0,26.4,1.76
58,Female,Finance,Engineer,2.0,0.87,0,56.0,50.46,1.74
27,Male,Engineering,HR Specialist,5.0,0.23,0,22.0,6.21,1.1500000000000001
43,Male,Finance,HR Specialist,10.0,0.07,0,33.0,3.0100000000000002,0.7000000000000001
43,Male,HR,Analyst,9.0,0.16,0,34.0,6.88,1.44
52,Male,HR,HR Specialist,7.0,0.38,1,45.0,19.76,2.66
34,Female,Sales,Manager,9.0,0.69,1,25.0,23.459999999999997,6.209999999999999
42,Female,HR,Manager,5.0,0.68,1,37.0,28.560000000000002,3.4000000000000004
28,Female,HR,Analyst,9.0,0.69,1,19.0,19.32,6.209999999999999
36,Female,Engineering,Analyst,8.0,0.42,0,28.0,15.12,3.36
51,Male,Finance,HR Specialist,3.0,0.3,1,48.0,15.299999999999999,0.8999999999999999
53,Male,Sales,Analyst,5.0,0.67,0,48.0,35.510000000000005,3.35
36,Male,Marketing,Manager,5.0,0.96,1,31.0,34.56,4.8
35,Female,Marketing,HR Specialist,1.0,0.68,0,34.0,23.8,0.68
28,Female,Engineering,Accountant,6.0,0.61,0,22.0,17.08,3.66
48,Female,Sales,Manager,8.0,0.51,0,40.0,24.48,4.08
50,Male,HR,Engineer,6.0,0.79,1,44.0,39.5,4.74
52,Female,HR,Manager,5.0,0.77,0,47.0,40.04,3.85
28,Female,Marketing,Analyst,6.0,0.56,1,22.0,15.680000000000001,3.3600000000000003
39,Female,HR,HR Specialist,9.0,0.09,1,30.0,3.51,0.8099999999999999
46,Male,Sales,Manager,10.0,0.48,0,36.0,22.08,4.8
48,Male,HR,Engineer,5.0,0.69,1,43.0,33.12,3.4499999999999997
48,Male,Marketing,Analyst,7.0,0.03,0,41.0,1.44,0.21
29,Male,HR,Engineer,1.0,0.4,0,28.0,11.600000000000001,0.4
30,Male,Sales,Analyst,8.0,0.09,1,22.0,2.6999999999999997,0.72
34,Male,Sales,Engineer,4.0,0.12,0,30.0,4.08,0.48
27,Female,HR,Engineer,3.0,0.81,0,24.0,21.87,2.43
58,Male,Finance,Accountant,4.0,0.69,1,54.0,40.019999999999996,2.76
30,Female,Engineering,Manager,4.0,0.67,1,26.0,20.1,2.68
34,Female,Sales,Engineer,7.0,0.96,1,27.0,32.64,6.72
40,Female,Sales,Manager,6.0,0.62,1,34.0,24.8,3.7199999999999998
53,Female,Marketing,HR Specialist,6.0,0.85,1,47.0,45.05,5.1
27,Female,Finance,Engineer,2.0,0.38,0,25.0,10.26,0.76
35,Female,Marketing,Engineer,7.0,0.17,1,28.0,5.95,1.1900000000000002
28,Male,Marketing,HR Specialist,7.0,0.64,1,21.0,17.92,4.48
28,Female,Marketing,Manager,9.0,0.8,0,19.0,22.400000000000002,7.2
48,Female,Finance,Manager,5.0,0.15,1,43.0,7.199999999999999,0.75
52,Female,Marketing,Manager,5.0,0.3,1,47.0,15.6,1.5
59,Female,HR,Engineer,10.0,0.34,0,49.0,20.060000000000002,3.4000000000000004
48,Female,Sales,Analyst,6.0,0.84,1,42.0,40.32,5.04
46,Male,Engineering,Accountant,4.0,0.02,1,42.0,0.92,0.08
50,Male,Engineering,Accountant,8.0,0.78,0,42.0,39.0,6.24
42,Male,Finance,Accountant,1.0,0.29,1,41.0,12.18,0.29
27,Female,Finance,Engineer,3.0,0.24,0,24.0,6.4799999999999995,0.72
35,Female,Engineering,HR Specialist,6.0,0.54,1,29.0,18.900000000000002,3.24
33,Female,HR,Engineer,8.0,0.3,1,25.0,9.9,2.4
57,Female,Sales,Accountant,3.0,0.78,1,54.0,44.46,2.34
50,Female,HR,Engineer,8.0,0.77,0,42.0,38.5,6.16
28,Male,Engineering,Manager,3.0,0.36,0,25.0,10.08,1.08
26,Female,Engineering,HR Specialist,3.0,0.75,1,23.0,19.5,2.25
32,Female,Sales,HR Specialist,6.0,0.28,1,26.0,8.96,1.6800000000000002
31,Female,Sales,Analyst,6.0,0.46,0,25.0,14.26,2.7600000000000002
58,Male,Finance,Manager,7.0,0.83,1,51.0,48.14,5.81
43,Female,Finance,Accountant,6.0,0.31,1,37.0,13.33,1.8599999999999999
53,Male,HR,Analyst,3.0,0.13,0,50.0,6.890000000000001,0.39
30,Male,Engineering,Engineer,10.0,0.14,1,20.0,4.2,1.4000000000000001
34,Female,HR,Analyst,10.0,0.16,1,24.0,5.44,1.6
29,Female,Finance,Accountant,9.0,0.41,1,20.0,11.889999999999999,3.69
48,Male,Marketing,Accountant,3.0,0.53,1,45.0,25.44,1.59
46,Female,Sales,HR Specialist,4.0,0.75,0,42.0,34.5,3.0
50,Male,Engineering,HR Specialist,9.0,0.14,0,41.0,7.000000000000001,1.2600000000000002
53,Female,Engineering,Manager,9.0,0.89,1,44.0,47.17,8.01
44,Female,Marketing,Manager,9.0,0.92,1,35.0,40.480000000000004,8.280000000000001
42,Female,Engineering,Analyst,1.0,0.76,1,41.0,31.92,0.76
39,Female,Engineering,Manager,4.0,0.31,0,35.0,12.09,1.24
39,Male,Marketing,HR Specialist,7.0,0.24,0,32.0,9.36,1.68
48,Male,Finance,Manager,10.0,0.32,0,38.0,15.36,3.2
53,Male,Sales,Manager,1.0,0.75,0,52.0,39.75,0.75
41,Female,Finance,HR Specialist,8.0,0.49,0,33.0,20.09,3.92
49,Male,Marketing,Manager,4.0,0.85,1,45.0,41.65,3.4
40,Female,HR,Engineer,10.0,0.08,0,30.0,3.2,0.8
41,Male,Sales,HR Specialist,9.0,0.91,0,32.0,37.31,8.19
45,Female,HR,Engineer,7.0,0.35,0,38.0,15.749999999999998,2.4499999999999997
51,Male,Engineering,HR Specialist,6.0,0.61,0,45.0,31.11,3.66
29,Female,Sales,Engineer,9.0,0.19,1,20.0,5.51,1.71
46,Male,HR,Analyst,9.0,0.04,1,37.0,1.84,0.36
57,Male,HR,HR Specialist,10.0,0.21,1,47.0,11.969999999999999,2.1
26,Female,HR,Manager,5.0,0.42,1,21.0,10.92,2.1
59,Female,Engineering,Accountant,8.0,0.01,1,51.0,0.59,0.08
43,Male,Sales,Engineer,4.0,0.98,0,39.0,42.14,3.92
51,Male,Finance,HR Specialist,3.0,0.19,0,48.0,9.69,0.5700000000000001
26,Female,Engineering,Engineer,5.0,0.87,0,21.0,22.62,4.35
42,Male,Sales,Analyst,4.0,0.72,0,38.0,30.24,2.88
47,Male,HR,Engineer,8.0,0.76,0,39.0,35.72,6.08
50,Male,Marketing,Analyst,8.0,0.61,0,42.0,30.5,4.88
35,Female,Marketing,Analyst,3.0,0.88,0,32.0,30.8,2.64
25,Male,Engineering,Manager,4.0,0.63,0,21.0,15.75,2.52
44,Female,Finance,Engineer,8.0,0.24,0,36.0,10.559999999999999,1.92
55,Female,Finance,Accountant,6.0,0.05,0,49.0,2.75,0.30000000000000004
32,Female,Sales,HR Specialist,1.0,0.95,1,31.0,30.4,0.95
48,Male,Marketing,Analyst,8.0,0.63,0,40.0,30.240000000000002,5.04
44,Female,HR,Manager,4.0,0.18,0,40.0,7.92,0.72
39,Female,Finance,Engineer,2.0,0.01,1,37.0,0.39,0.02
54,Female,Finance,Accountant,9.0,0.31,0,45.0,16.74,2.79
44,Female,Marketing,Analyst,3.0,0.56,0,41.0,24.64,1.6800000000000002
26,Female,HR,HR Specialist,6.0,0.31,1,20.0,8.06,1.8599999999999999
30,Female,Sales,Engineer,6.0,0.48,0,24.0,14.399999999999999,2.88
42,Female,Sales,Engineer,4.0,0.03,1,38.0,1.26,0.12
38,Male,Sales,Engineer,8.0,0.54,0,30.0,20.520000000000003,4.32
50,Female,Sales,Manager,7.0,0.55,1,43.0,27.500000000000004,3.8500000000000005
58,Male,Marketing,Analyst,6.0,0.76,1,52.0,44.08,4.5600000000000005
54,Female,Sales,HR Specialist,5.0,0.87,0,49.0,46.98,4.35
31,Female,Marketing,HR Specialist,1.0,0.27,0,30.0,8.370000000000001,0.27
54,Female,Finance,Accountant,4.0,0.97,1,50.0,52.379999999999995,3.88
42,Female,Marketing,Manager,1.0,0.18,1,41.0,7.56,0.18
46,Female,Engineering,Manager,10.0,0.48,0,36.0,22.08,4.8
41,Male,Engineering,Accountant,6.0,0.78,1,35.0,31.98,4.68
55,Male,Finance,Analyst,9.0,0.87,1,46.0,47.85,7.83
41,Female,HR,Manager,2.0,0.11,0,39.0,4.51,0.22
55,Female,Engineering,Manager,9.0,0.04,0,46.0,2.2,0.36
37,Female,Marketing,Accountant,5.0,0.93,1,32.0,34.410000000000004,4.65
51,Male,Finance,Engineer,5.0,0.65,1,46.0,33.15,3.25
44,Female,HR,Engineer,4.0,0.84,1,40.0,36.96,3.36
41,Female,Engineering,HR Specialist,5.0,0.75,0,36.0,30.75,3.75
53,Female,HR,Accountant,9.0,0.73,1,44.0,38.69,6.57
59,Male,Sales,Engineer,9.0,0.42,0,50.0,24.779999999999998,3.78
32,Female,Sales,Engineer,2.0,0.7,1,30.0,22.4,1.4
39,Male,Sales,Engineer,6.0,0.12,1,33.0,4.68,0.72
25,Male,Engineering,Manager,2.0,0.39,1,23.0,9.75,0.78
57,Female,HR,HR Specialist,5.0,0.74,1,52.0,42.18,3.7
27,Female,Engineering,Analyst,10.0,0.42,1,17.0,11.34,4.2
39,Male,HR,Accountant,7.0,0.99,0,32.0,38.61,6.93
42,Female,Marketing,Analyst,6.0,0.92,1,36.0,38.64,5.5200000000000005
55,Male,Marketing,Manager,2.0,0.28,1,53.0,15.400000000000002,0.56
44,Female,Engineering,Engineer,7.0,0.88,0,37.0,38.72,6.16
31,Female,HR,HR Specialist,7.0,0.82,0,24.0,25.419999999999998,5.739999999999999
51,Female,Marketing,Analyst,3.0,0.47,0,48.0,23.97,1.41
32,Female,HR,Analyst,1.0,0.42,0,31.0,13.44,0.42
38,Female,Marketing,Manager,8.0,0.24,0,30.0,9.12,1.92
39,Female,HR,Engineer,8.0,0.6,0,31.0,23.4,4.8
31,Male,Engineering,Analyst,3.0,0.58,1,28.0,17.98,1.7399999999999998
57,Female,Engineering,Analyst,7.0,0.33,0,50.0,18.810000000000002,2.31
58,Male,Finance,Analyst,10.0,0.63,1,48.0,36.54,6.3
28,Female,Marketing,Manager,6.0,0.66,0,22.0,18.48,3.96
25,Male,Sales,Accountant,2.0,0.5,1,23.0,12.5,1.0
38,Male,Finance,Engineer,4.0,0.88,0,34.0,33.44,3.52
55,Male,Sales,HR Specialist,8.0,0.79,1,47.0,43.45,6.32
44,Male,Marketing,Manager,4.0,0.07,1,40.0,3.08,0.28
27,Female,Engineering,Manager,9.0,0.46,1,18.0,12.42,4.140000000000001
59,Female,Sales,Analyst,3.0,0.21,0,56.0,12.389999999999999,0.63
57,Male,Engineering,Engineer,4.0,0.54,0,53.0,30.78,2.16
39,Female,Finance,HR Specialist,10.0,0.21,1,29.0,8.19,2.1
27,Female,Finance,Engineer,1.0,0.89,0,26.0,24.03,0.89
52,Female,Engineering,Manager,3.0,0.05,0,49.0,2.6,0.15000000000000002
51,Male,HR,Manager,6.0,0.83,1,45.0,42.33,4.9799999999999995
57,Male,Marketing,Engineer,6.0,0.41,0,51.0,23.369999999999997,2.46
43,Male,HR,Manager,8.0,0.61,0,35.0,26.23,4.88
57,Female,Finance,Accountant,7.0,0.26,1,50.0,14.82,1.82
55,Male,Marketing,Analyst,3.0,0.6,1,52.0,33.0,1.7999999999999998
28,Female,HR,Engineer,3.0,0.19,0,25.0,5.32,0.5700000000000001
56,Male,Sales,Manager,7.0,0.81,0,49.0,45.36,5.67
52,Male,HR,Engineer,6.0,0.6,0,46.0,31.2,3.5999999999999996
40,Male,Engineering,Manager,4.0,0.65,1,36.0,26.0,2.6
52,Male,Sales,HR Specialist,10.0,0.26,0,42.0,13.52,2.6
39,Male,Engineering,Analyst,2.0,0.17,1,37.0,6.630000000000001,0.34
46,Female,Sales,Engineer,3.0,0.04,1,43.0,1.84,0.12
55,Female,Finance,Engineer,3.0,0.17,0,52.0,9.350000000000001,0.51
45,Male,Marketing,Engineer,6.0,0.37,0,39.0,16.65,2.2199999999999998
56,Male,Sales,Engineer,9.0,0.91,1,47.0,50.96,8.19
31,Male,Finance,HR Specialist,9.0,0.78,1,22.0,24.18,7.0200000000000005
57,Female,Finance,Manager,10.0,0.22,1,47.0,12.540000000000001,2.2
32,Female,Marketing,Engineer,2.0,0.02,0,30.0,0.64,0.04
38,Male,Marketing,Accountant,6.0,0.23,0,32.0,8.74,1.3800000000000001
49,Male,Sales,Engineer,2.0,0.9,0,47.0,44.1,1.8
56,Female,Finance,Accountant,2.0,0.32,0,54.0,17.92,0.64
52,Female,Finance,Accountant,9.0,0.56,1,43.0,29.120000000000005,5.040000000000001
26,Male,Marketing,Manager,2.0,0.48,0,24.0,12.48,0.96
41,Female,Engineering,Engineer,4.0,0.54,1,37.0,22.14,2.16
51,Female,Marketing,Analyst,5.0,0.89,0,46.0,45.39,4.45
26,Female,Engineering,Manager,8.0,0.32,0,18.0,8.32,2.56
32,Female,Engineering,HR Specialist,3.0,0.56,0,29.0,17.92,1.6800000000000002
44,Male,HR,Accountant,7.0,0.48,0,37.0,21.119999999999997,3.36
45,Female,Engineering,Engineer,2.0,0.64,1,43.0,28.8,1.28
50,Female,Marketing,Accountant,5.0,0.78,0,45.0,39.0,3.9000000000000004
55,Male,Sales,Analyst,2.0,0.28,1,53.0,15.400000000000002,0.56
44,Male,Finance,HR Specialist,3.0,0.42,1,41.0,18.48,1.26
30,Male,Marketing,Engineer,8.0,0.18,1,22.0,5.3999999999999995,1.44
39,Male,Sales,Engineer,9.0,0.03,1,30.0,1.17,0.27
25,Female,Engineering,Analyst,8.0,0.34,0,17.0,8.5,2.72
50,Male,HR,Accountant,3.0,0.3,0,47.0,15.0,0.8999999999999999
53,Male,Marketing,Engineer,3.0,0.96,0,50.0,50.879999999999995,2.88
26,Male,Finance,Manager,9.0,0.89,0,17.0,23.14,8.01
46,Male,Engineering,Accountant,8.0,0.25,1,38.0,11.5,2.0
53,Male,HR,Manager,4.0,0.11,0,49.0,5.83,0.44
33,Female,HR,HR Specialist,1.0,0.95,1,32.0,31.349999999999998,0.95
45,Female,Engineering,HR Specialist,10.0,0.43,1,35.0,19.35,4.3
56,Female,Marketing,Accountant,6.0,0.19,1,50.0,10.64,1.1400000000000001
56,Male,Engineering,Accountant,5.0,0.84,1,51.0,47.04,4.2
50,Male,Engineering,Manager,3.0,0.85,0,47.0,42.5,2.55
37,Female,Marketing,Manager,1.0,0.56,0,36.0,20.720000000000002,0.56
27,Female,Sales,Manager,1.0,0.11,0,26.0,2.97,0.11
56,Male,Engineering,Manager,4.0,0.98,1,52.0,54.879999999999995,3.92
57,Male,Marketing,HR Specialist,1.0,0.01,1,56.0,0.5700000000000001,0.01
57,Female,Engineering,Analyst,5.0,0.82,1,52.0,46.739999999999995,4.1
37,Male,Engineering,HR Specialist,2.0,0.38,1,35.0,14.06,0.76
30,Female,Finance,Engineer,2.0,0.95,1,28.0,28.5,1.9
28,Male,Finance,HR Specialist,9.0,0.96,1,19.0,26.88,8.64
30,Male,Engineering,HR Specialist,2.0,0.77,1,28.0,23.1,1.54
27,Female,Finance,HR Specialist,4.0,0.29,1,23.0,7.829999999999999,1.16
51,Male,Engineering,HR Specialist,7.0,0.02,0,44.0,1.02,0.14
44,Male,Marketing,Accountant,4.0,0.99,1,40.0,43.56,3.96
42,Male,Engineering,HR Specialist,2.0,0.91,1,40.0,38.22,1.82
44,Female,Engineering,Engineer,8.0,0.47,0,36.0,20.68,3.76
54,Male,Marketing,Accountant,9.0,0.81,0,45.0,43.74,7.290000000000001
34,Male,Sales,Accountant,8.0,0.43,0,26.0,14.62,3.44
47,Male,Engineering,Accountant,7.0,0.52,1,40.0,24.44,3.64
27,Female,Engineering,Engineer,3.0,0.5,1,24.0,13.5,1.5
33,Female,HR,Accountant,4.0,0.18,0,29.0,5.9399999999999995,0.72
43,Female,Marketing,HR Specialist,2.0,0.47,0,41.0,20.209999999999997,0.94
51,Female,Sales,Analyst,2.0,0.47,1,49.0,23.97,0.94
52,Male,Engineering,Engineer,10.0,0.9,1,42.0,46.800000000000004,9.0
32,Male,Engineering,HR Specialist,5.0,0.68,1,27.0,21.76,3.4000000000000004
32,Female,Marketing,Manager,1.0,0.62,1,31.0,19.84,0.62
42,Female,Sales,Accountant,10.0,0.67,1,32.0,28.14,6.7
45,Male,Sales,Analyst,1.0,0.6,0,44.0,27.0,0.6
37,Female,HR,Manager,6.0,0.22,1,31.0,8.14,1.32
51,Female,Marketing,Manager,2.0,0.12,0,49.0,6.12,0.24
40,Female,Engineering,Manager,1.0,0.92,1,39.0,36.800000000000004,0.92
33,Male,Finance,Manager,7.0,0.77,0,26.0,25.41,5.390000000000001
51,Female,Marketing,Manager,2.0,0.25,0,49.0,12.75,0.5
41,Male,HR,Manager,9.0,0.75,1,32.0,30.75,6.75
27,Female,Sales,Manager,10.0,0.18,0,17.0,4.859999999999999,1.7999999999999998
28,Male,HR,Accountant,8.0,0.74,1,20.0,20.72,5.92
25,Male,Engineering,Analyst,2.0,0.39,1,23.0,9.75,0.78
38,Male,Engineering,Manager,9.0,0.01,1,29.0,0.38,0.09
32,Female,Sales,Manager,7.0,0.07,1,25.0,2.24,0.49000000000000005
31,Male,Sales,Accountant,4.0,0.47,0,27.0,14.569999999999999,1.88
54,Female,Engineering,Accountant,2.0,0.03,1,52.0,1.6199999999999999,0.06
49,Male,Finance,Accountant,2.0,0.39,0,47.0,19.11,0.78
40,Female,Sales,Manager,9.0,0.31,0,31.0,12.4,2.79
35,Female,Marketing,Analyst,10.0,0.11,0,25.0,3.85,1.1
49,Female,HR,Accountant,7.0,0.46,1,42.0,22.540000000000003,3.22
57,Female,HR,Analyst,5.0,0.12,0,52.0,6.84,0.6
45,Male,Marketing,Accountant,10.0,0.19,1,35.0,8.55,1.9
34,Male,Sales,Engineer,1.0,0.93,1,33.0,31.62,0.93
33,Male,Finance,Analyst,7.0,0.44,1,26.0,14.52,3.08
25,Male,Finance,Manager,1.0,0.69,0,24.0,17.25,0.69
